date,price,type,year,region
2017-08-20,1.25,conventional,2017,Detroit
2017-12-24,1.09,conventional,2017,Roanoke
2015-10-18,1.79,organic,2015,Chicago
2015-04-12,1.13,conventional,2015,Midsouth
2016-05-15,1.65,organic,2016,Plains
2017-06-04,1.97,organic,2017,MiamiFtLauderdale
2015-06-21,0.96,conventional,2015,Nashville
2015-04-19,1.59,organic,2015,TotalUS
2017-05-14,0.79,conventional,2017,Houston
2017-01-01,0.92,conventional,2017,Boise
2015-03-01,1.13,conventional,2015,Indianapolis
2015-08-09,1.15,conventional,2015,StLouis
2015-11-08,0.98,conventional,2015,California
2017-08-27,2.17,organic,2017,Midsouth
2016-06-12,0.92,conventional,2016,West
2015-08-02,1.09,conventional,2015,TotalUS
2017-04-23,1.11,conventional,2017,Seattle
2015-08-30,1.58,organic,2015,LosAngeles
2015-11-01,1.25,organic,2015,Seattle
2015-11-01,1.75,organic,2015,SouthCarolina
2018-01-21,1.55,organic,2018,Denver
2016-07-31,1.11,organic,2016,Nashville
2016-01-24,1.49,organic,2016,GrandRapids
2016-12-25,1.6,organic,2016,RaleighGreensboro
2016-06-19,1.21,organic,2016,SouthCarolina
2016-10-02,1.26,conventional,2016,Atlanta
2016-04-03,1.04,conventional,2016,Tampa
2017-09-10,1.88,organic,2017,Detroit
2016-07-24,1.68,conventional,2016,NewYork
2017-06-18,1.55,organic,2017,CincinnatiDayton
2015-06-28,1.07,conventional,2015,GreatLakes
2016-08-14,1.12,conventional,2016,TotalUS
2017-02-12,1.38,organic,2017,SouthCarolina
2015-06-21,0.54,conventional,2015,PhoenixTucson
2016-01-24,1.55,organic,2016,Southeast
2015-09-20,0.83,conventional,2015,SouthCentral
2015-05-17,1.42,organic,2015,BaltimoreWashington
2015-05-24,2.36,organic,2015,HartfordSpringfield
2016-11-20,0.99,conventional,2016,Houston
2017-09-17,2.19,organic,2017,Nashville
2017-08-13,2.04,organic,2017,LosAngeles
2017-08-27,1.82,organic,2017,BaltimoreWashington
2017-02-05,0.63,conventional,2017,SanDiego
2016-01-24,1.21,conventional,2016,Northeast
2017-08-06,1.34,conventional,2017,SanDiego
2016-03-27,0.93,conventional,2016,Nashville
2016-01-17,0.87,conventional,2016,Portland
2015-06-28,1.03,conventional,2015,West
2016-12-11,0.77,conventional,2016,CincinnatiDayton
2015-05-03,1.92,organic,2015,NorthernNewEngland
2015-08-23,1.72,organic,2015,TotalUS
2015-03-01,1.03,conventional,2015,Denver
2017-05-21,0.91,conventional,2017,DallasFtWorth
2017-02-26,1.23,conventional,2017,Tampa
2016-11-13,1.53,organic,2016,Midsouth
2016-12-25,1.53,organic,2016,Louisville
2016-09-04,0.91,organic,2016,Houston
2017-11-19,1.95,organic,2017,LasVegas
2016-07-10,1.15,conventional,2016,Louisville
2017-11-12,1.35,conventional,2017,Northeast
2016-09-25,1.54,organic,2016,RichmondNorfolk
2015-01-04,0.71,conventional,2015,Houston
2015-09-13,1.81,organic,2015,Detroit
2015-09-20,1.15,conventional,2015,Boston
2017-10-29,1.84,organic,2017,Southeast
2016-06-19,1.4,conventional,2016,Northeast
2017-05-14,1.93,organic,2017,Chicago
2015-08-23,0.78,conventional,2015,PhoenixTucson
2015-05-24,1.43,conventional,2015,BuffaloRochester
2015-09-20,1.17,conventional,2015,HarrisburgScranton
2016-01-31,1.02,organic,2016,LosAngeles
2017-12-17,1.01,conventional,2017,MiamiFtLauderdale
2016-08-28,2.06,organic,2016,Philadelphia
2017-02-26,1.93,organic,2017,BuffaloRochester
2016-07-10,1.1,conventional,2016,TotalUS
2017-07-02,1.09,conventional,2017,Indianapolis
2016-04-17,0.73,conventional,2016,WestTexNewMexico
2017-03-05,0.92,organic,2017,Houston
2016-12-25,1.55,organic,2016,Plains
2016-06-05,1.2,organic,2016,CincinnatiDayton
2017-02-12,1.66,organic,2017,SanDiego
2017-06-04,1.8,conventional,2017,Philadelphia
2017-07-16,1.56,conventional,2017,Boston
2016-10-23,1.12,conventional,2016,Seattle
2016-04-17,1.76,organic,2016,BuffaloRochester
2015-04-12,1.59,organic,2015,Seattle
2018-03-25,1.39,conventional,2018,Boston
2015-09-06,1.36,conventional,2015,Syracuse
2017-04-23,1.43,organic,2017,Nashville
2017-05-07,0.65,conventional,2017,PhoenixTucson
2015-08-02,0.9,conventional,2015,Houston
2016-12-25,2.41,organic,2016,HartfordSpringfield
2017-05-21,1.38,organic,2017,Atlanta
2017-05-21,1.36,conventional,2017,NewOrleansMobile
2016-04-17,1.36,organic,2016,Atlanta
2017-08-20,1.39,conventional,2017,Indianapolis
2015-11-29,1.71,organic,2015,SouthCarolina
2015-03-29,1.53,organic,2015,SanDiego
2016-05-01,1.44,organic,2016,Southeast
2015-11-15,1.04,conventional,2015,BaltimoreWashington
2016-12-25,1.68,organic,2016,Midsouth
2016-08-14,0.69,conventional,2016,PhoenixTucson
2018-01-14,1.41,conventional,2018,Jacksonville
2017-11-26,1.18,conventional,2017,West
2017-02-19,1.27,conventional,2017,Chicago
2016-10-16,1.37,conventional,2016,RaleighGreensboro
2015-05-17,1.21,conventional,2015,Charlotte
2016-02-07,1.41,organic,2016,NewOrleansMobile
2017-07-02,1.78,organic,2017,Midsouth
2016-12-11,1.33,conventional,2016,Charlotte
2017-02-26,1.34,organic,2017,California
2016-11-27,1.55,organic,2016,Southeast
2017-04-02,1.58,conventional,2017,Sacramento
2017-11-19,2.06,organic,2017,SanFrancisco
2017-09-03,1.53,conventional,2017,Atlanta
2017-01-08,0.86,conventional,2017,Columbus
2018-02-18,1.58,organic,2018,NorthernNewEngland
2016-02-14,1.48,organic,2016,Tampa
2016-01-31,1.55,organic,2016,Plains
2018-02-18,1.52,organic,2018,BaltimoreWashington
2016-05-08,0.86,conventional,2016,CincinnatiDayton
2015-11-08,1.51,organic,2015,SouthCentral
2017-11-19,0.6,conventional,2017,PhoenixTucson
2015-06-28,1.49,organic,2015,CincinnatiDayton
2015-04-19,1.83,organic,2015,BuffaloRochester
2015-11-22,1.09,conventional,2015,Detroit
2017-11-05,1.15,conventional,2017,RichmondNorfolk
2018-03-25,1.49,organic,2018,Philadelphia
2017-09-24,1.68,organic,2017,DallasFtWorth
2016-09-11,1.49,organic,2016,Pittsburgh
2016-05-22,1.81,organic,2016,Northeast
2015-12-20,1.23,conventional,2015,NewYork
2016-10-30,2.73,organic,2016,Seattle
2017-04-09,1.07,conventional,2017,Columbus
2017-04-30,2.76,organic,2017,RaleighGreensboro
2016-09-04,1.15,organic,2016,Roanoke
2015-03-22,1.77,organic,2015,SouthCarolina
2015-12-20,1.41,organic,2015,SouthCentral
2016-11-27,1.75,conventional,2016,SanFrancisco
2016-06-12,1.05,conventional,2016,CincinnatiDayton
2015-05-03,1.4,organic,2015,PhoenixTucson
2017-01-08,1.37,conventional,2017,BuffaloRochester
2017-09-17,1.84,organic,2017,GreatLakes
2017-11-05,1.08,conventional,2017,Atlanta
2018-03-11,1.32,conventional,2018,Philadelphia
2016-11-20,1.32,conventional,2016,California
2017-11-12,1.11,conventional,2017,NewOrleansMobile
2016-05-08,1.78,organic,2016,Northeast
2017-07-09,0.84,conventional,2017,WestTexNewMexico
2016-02-21,1.49,organic,2016,Nashville
2015-03-08,0.87,conventional,2015,CincinnatiDayton
2016-05-01,0.79,conventional,2016,MiamiFtLauderdale
2017-07-09,0.99,conventional,2017,Nashville
2017-06-11,1.96,organic,2017,Chicago
2015-08-02,1.94,organic,2015,SouthCarolina
2015-12-06,0.85,conventional,2015,Spokane
2015-10-11,1.66,organic,2015,CincinnatiDayton
2015-11-08,1.98,organic,2015,SanFrancisco
2015-10-04,1.81,organic,2015,Detroit
2016-11-13,2.13,organic,2016,California
2017-08-06,1.91,organic,2017,NewYork
2015-06-14,1.21,conventional,2015,Chicago
2016-07-03,0.95,conventional,2016,SouthCarolina
2015-11-01,1.16,conventional,2015,Pittsburgh
2017-11-05,1.32,conventional,2017,Spokane
2017-08-13,2.07,organic,2017,NewYork
2016-08-07,1.13,conventional,2016,NewOrleansMobile
2016-08-07,1.88,organic,2016,Northeast
2015-04-05,1.26,conventional,2015,Seattle
2017-08-20,1.41,conventional,2017,Midsouth
2015-05-24,0.96,conventional,2015,Atlanta
2016-08-28,1.27,conventional,2016,Indianapolis
2016-03-06,0.98,conventional,2016,Denver
2017-05-07,1.63,conventional,2017,Syracuse
2017-09-03,2.02,organic,2017,Denver
2016-06-19,2.26,organic,2016,NewYork
2017-08-27,1.1,conventional,2017,Denver
2017-11-12,0.9,conventional,2017,CincinnatiDayton
2016-12-04,1.36,organic,2016,Detroit
2016-10-16,1.53,organic,2016,Pittsburgh
2016-08-07,1.37,conventional,2016,Pittsburgh
2015-02-15,1.21,conventional,2015,GrandRapids
2015-10-25,1.55,conventional,2015,SanFrancisco
2017-12-17,1.38,organic,2017,Indianapolis
2015-02-22,1.1,conventional,2015,Jacksonville
2017-07-02,1.21,organic,2017,Houston
2017-11-26,1.61,conventional,2017,Seattle
2016-01-24,0.96,conventional,2016,RaleighGreensboro
2017-10-15,1.69,organic,2017,Philadelphia
2016-06-12,1.85,organic,2016,Philadelphia
2017-01-29,0.7,conventional,2017,Houston
2017-07-02,1.31,conventional,2017,Plains
2015-01-18,1.02,conventional,2015,Plains
2015-11-01,1.92,organic,2015,WestTexNewMexico
2016-11-27,1.22,conventional,2016,Atlanta
2016-08-14,1.22,conventional,2016,HarrisburgScranton
2015-06-21,1.26,conventional,2015,StLouis
2015-10-04,1.04,conventional,2015,Roanoke
2016-02-21,1.48,organic,2016,RichmondNorfolk
2017-10-01,1.29,conventional,2017,Houston
2016-07-24,0.94,conventional,2016,PhoenixTucson
2017-02-12,0.54,conventional,2017,PhoenixTucson
2015-09-13,1.01,conventional,2015,RichmondNorfolk
2017-05-21,2.15,organic,2017,Northeast
2017-07-16,1.18,conventional,2017,Detroit
2015-06-28,1.58,organic,2015,Boise
2015-05-03,1.0,conventional,2015,SanFrancisco
2016-07-31,1.22,organic,2016,MiamiFtLauderdale
