Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,total_salary,Retirement,Health/Dental,Other Benefits,Total Benefits,total_compensation
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,51825,130833.51,22068.86,15908.99,168811.36,28901.64,15196.11,2831.48,46929.23,215740.59
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",9100,Street Transit,9195,Light Rail Vehicle Equip Eng,18248,132210.02,0,1572.99,133783.01,26893.95,12424.51,10033.3,49351.76,183134.77
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,29236,104344.75,14066.61,19945.8,138357.16,22586.74,9820.14,9351.59,41758.47,180115.63
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5381,Stdntdsgn Train2/Arch/Eng/Plng,40509,21002.35,0,0,21002.35,0,4630.51,1629.27,6259.78,27262.13
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,16847,11453.93,0,0,11453.93,454.9,4966.81,916.64,6338.35,17792.28
Calendar,2015,5,Culture & Recreation,SCI,Academy of Sciences,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7334,Stationary Engineer,1443,31731,2451.61,1006.5,35189.11,0,4587.51,2786.83,7374.34,42563.45
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9131,"Station Agent, Muni Railway",11230,82535,42260.93,11346.01,136141.94,18396.67,12424.5,9978.81,40799.98,176941.92
Calendar,2015,6,General Administration & Finance,TIS,General Services Agency - Technology,16,"Theatrical and Stage Employees, Local 16",1700,Computer Operatns & Repro Svcs,1767,Media Programming Spec,23383,14030.01,0,0,14030.01,2611,2389.33,1120.63,6120.96,20150.97
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,236,"Carpenters, Local 22",7300,Journeyman Trade,7342,Locksmith,42701,43594,2733.24,31.06,46358.3,8201.43,6212.25,3634.83,18048.51,64406.81
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",5200,Professional Engineering,5264,Airport Noise Abatement Spec,1036,23608.01,0,0,23608.01,4393.47,4300.79,1897.79,10592.05,34200.06
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,45546,20160.61,0,833.74,20994.35,0,1574.5,1626.94,3201.44,24195.79
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1044,IS Engineer-Principal,27918,142997.25,0,0,142997.25,28792.6,12407.84,10258.88,51459.32,194456.57
Calendar,2015,3,Human Welfare & Neighborhood Development,ENV,Environment,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,17327,13700.63,0,0,13700.63,840.89,5941.07,1098.28,7880.24,21580.87
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3654,66314.02,9218.07,8090.38,83622.47,20393.38,13066.45,6525.55,39985.38,123607.85
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,38180,111166.48,8285.58,11832.45,131284.51,22564.18,12424.5,2190.42,37179.1,168463.61
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,44248,53223.12,0,0,53223.12,11878.05,12424.5,4076.77,28379.32,81602.44
Calendar,2015,1,Public Protection,CRT,Superior Court,792,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,430C,Deputy Court Clerk III,27908,3351.6,0,0,3351.6,623.74,573.44,265.45,1462.63,4814.23
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,52541,79158.76,28638.16,4472.8,112269.72,14890.67,8123.71,1914.99,24929.37,137199.09
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,46573,100836.84,0,250,101086.84,19055.02,9379.06,7539.62,35973.7,137060.54
