class,total_phenols,flavanoids
1,2.98,3.15
1,2.7,2.98
2,2.0,2.09
1,3.0,3.23
2,2.2,2.21
2,1.61,1.57
1,2.65,2.33
2,2.22,2.45
1,2.85,2.94
2,2.13,2.24
2,2.1,1.79
1,3.0,3.25
2,2.2,1.94
1,2.6,2.68
2,1.45,1.25
2,2.1,1.75
2,2.0,2.09
2,1.61,1.57
2,3.02,2.26
1,2.95,2.74
1,2.8,2.98
1,2.95,2.97
2,2.83,2.55
2,1.45,1.25
1,2.7,2.98
1,3.0,3.17
2,2.5,2.27
1,2.6,2.76
1,2.75,2.92
2,1.65,2.03
2,2.2,2.13
1,2.95,2.97
1,3.0,3.0
2,2.85,2.99
1,2.85,2.91
1,2.53,2.61
2,1.61,1.57
2,2.46,2.17
2,1.38,1.76
1,2.95,2.97
2,1.38,1.46
1,3.0,2.79
2,1.38,1.76
1,2.6,2.76
2,2.45,2.25
2,3.5,3.1
2,2.42,2.65
2,2.2,2.13
1,2.95,3.32
1,2.85,2.65
