country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,11895.3657108656,12245.5236664536,12711.1567623386,13276.5512036972,13389.5028292979,13323.0327533274,14042.5047837081,14545.4282572055,14996.0720459403,15611.5605295986,15798.6953582653,15858.1367672176,15810.553192641,16101.3146670718,16613.1734023118,17037.9529030446,17419.6942087349,17636.8306336143,18219.351115403,18783.4550265462,19600.8431915797,20452.5429585236,20685.689979311,20344.2175495616,20774.8918251555,21061.2965287118,21166.4849869531,21502.7214441946,21899.7528952293,22295.0996555751,22945.7088501507,23254.0399120116,23217.3320270132,23117.3618828238,23390.8626524383,23564.3851678751,24463.8464685677,25297.3853934236,25620.0753922856,24368.1956070382,25420.2757175313,26206.5482662757
Spain,3711.09929883867,4112.06453481331,4479.94916671727,4866.99406088536,5074.68064187375,5333.77516794548,5661.98554126029,5835.47594610167,6139.63100643278,6620.92178005714,6830.71898271281,7069.46290063984,7576.68432068646,8093.05315931094,8465.77793826165,8421.51304185107,8600.80669449627,8740.2248516273,8747.25046663491,8673.58349721975,8808.82438158904,8726.872252078,8788.55213789066,8901.97707747402,9023.88852589867,9199.66730012816,9470.17107912426,9970.85987565783,10455.7939088772,10939.130750862,11335.5525892772,11597.7026097159,11666.9103817728,11510.7233452281,11753.3855161633,12049.2585600213,12311.9920973318,12754.6316878254,13278.0035971533,13836.7025992824,14413.788872416,14774.8948594385,14957.3229114084,15165.9273523074,15408.1629358649,15700.5276097707,16074.4617847975,16351.1110812053,16251.8369329875,15523.0030416719,15418.8201765503,15428.320984012
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.869864919986,486.817620556677,927.232845784926,1223.91028394016,1368.22385316517,1449.1274352864,1490.64283435152,1533.53264806322,1603.04355403433,1664.15333214072,1766.30125663879,1854.79143130648,1969.48273806349,2105.57802802343,2222.56455189887,2161.59982585498,2183.25834960534,2225.29015323997
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",617.737547677785,652.344846823712,668.516630197965,624.679862787888,631.19313147634,636.697444046684,627.73252265628,623.353308600216,652.178031154664,681.427445468985,703.669245274228,735.687956726222,774.95921178625,813.293907807718,850.996710419025,889.598609920198,871.616410135901,770.828093450442,796.538824200515,849.789031140852,970.973632127264,1108.9990043744,1330.85474562288,1367.90596741288,1421.33250898,1364.79265113078,1235.79496218384,1204.15414436097,1192.17118049951,1190.26164333359,1170.02458804036,1166.29938214019,1165.29865745333,1123.53420037131,1033.59324082337,1045.77593848492,1060.60011915477,1024.5425163974,1033.34947413241,979.61443623686,1026.83155510095,1040.15182076029,1062.80786516491,1047.17437034087,1058.2365798912,1112.09918018465,1150.39287930841,1101.21998087118,1130.54284197776,1182.57924879695,1253.80414853512,1266.35605633712
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,2074.143532398,2124.69174494961,2250.59688984136,2345.84917421076,2583.03143834698,3065.67783698601,3569.15857464127,3988.43049855628,4387.67493966617,4799.08482590692,5083.81709315363,5213.70129113001,5219.63633102116,5115.06526634526,5162.19047217671,5203.42866423292,5316.02044919983,5496.55581329371,5910.32335147253,6331.80685769477,6664.6444587155,7011.20237633594,7268.30975910172,7522.27223635291,7877.44601148392,8320.71784177014,8582.79496767041,8972.62225454698,9375.5557374152,9770.35550286398,10377.0373182486,9912.98968934125,10116.0048247691,10062.9613036316,9945.30172433438,10244.2710543499,10405.8459640085,10781.0496896617,11172.281542936,10822.3080215095,11062.2327209188,11213.5370029931
New Caledonia,,,,,,7553.99484912329,7083.41630850036,7258.53730885118,8032.85002608816,8968.04824227378,11295.5608828008,11489.3534680431,11328.5958065088,9639.77285247666,10471.3201410594,10816.0020399488,10804.566682916,10831.7741978853,11760.2615194438,10059.8415774949,9908.47625600943,9150.89073771489,9338.08751306192,9094.68091829631,8937.75690685472,9194.42362571076,9043.37206099371,9391.08557939432,12406.2083554757,13394.3302985865,13562.6525494894,13882.8813027776,13595.2264933773,13293.2572427763,13242.9053999385,13601.4554592041,13385.2314414947,13339.5671751027,12701.1485345072,12557.3506559057,12579.5951055864,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2455.95246498985,2496.59806149436,2531.23802871463,2652.43898480624,2878.95549597822,2977.54132777332,3068.06785041123,3156.06777169807,3356.69012407344,3373.13602433792,3488.71501789276,3513.38589986882,3689.33052287838,3860.86448209768,3963.77578164136,4070.89801547979,4131.04749005117,4153.55317321841,4405.4226651585,4710.96832343969,5024.44480196815,5345.37534826251,5203.01488721836,4887.02255287287,4965.13390302438,4993.46834553705,4709.2088932587,4698.82475653706,4660.3717817346,4758.72902395087,4902.64499073043,5013.47679129204,5100.45045638301,5107.36416684703,5242.02183000126,4831.81939970492,4994.34330132968,5244.28972435949,5413.09118713845,5536.46919817708,5816.61448096171,5728.96765547976,5702.90370512876,5709.41956222553,5868.9197410127,5982.65383889538,6211.92723414387,6333.0823886765,6327.01317538555,5875.61999689259,6124.7095707354,6288.25324024231
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,3396.94571224502,3646.65478021629,3961.39989480492,3744.02268756908,3915.32559344425,4347.90444857348,4509.68050140565,4978.13128561424,5310.78176733118,5693.65773330236,6210.63034075982,6420.05391766072,6461.31485814635,6504.71085603205,6164.53240389018,6379.7714817012,6351.82919629498,6613.62818863452,7006.11526034415,7527.67207922437,7861.83475131317,7581.70030327532,7170.53953468073,7148.99774759835,7353.51925065996,7356.83353598602,8015.60127335046,8063.65339282075,8533.74312322608,8930.25644913022,8471.0886266522,8197.55478318663,7765.99956953561,7820.32960725024,8107.89161444088,8204.3752257857,8328.88574351148,8833.04760168644,9166.79771392184,9375.6582203758,9565.4012283607,9058.9002406341,8717.53463928211,8873.56807775371,9181.61603337719,9454.34246352254,9757.44343280415,9783.98417323239,9781.35691313337,9243.58705259742,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,495.251772915839,485.189909570135,519.885533848883,519.616899725664,536.951527878305,520.958692292273,505.775920871223,534.506812568943,547.557885562564,596.063653233371,620.50910040778,622.793655486209,642.277209209067,613.849613076934,630.47666624669,628.438703119208,600.749209673984,640.417405432454,635.850157311283,603.270257064508,599.081578820892,584.642582982325,582.188575871378,589.463456473793,586.297052624093,583.321036548814,584.073327161347,584.272785853419,568.900470517339,558.012804292746,554.600190288745,565.73269174779,569.335428288745,588.834770646079,603.595346231662,620.153473329398,582.399701976343,604.068164578375,627.759980057254,603.989286139236,593.575177323457,598.082268320445,615.083592120971,636.990514296768,660.243830952572,614.912086789114
Dominican Republic,912.469538043669,862.067195423098,976.188701111768,1006.28233777396,1040.43389814776,882.376352979104,970.821192616393,973.361310927046,947.364221249678,1020.7143665403,1173.23560439566,1265.42841702762,1359.8114115481,1495.25444417093,1544.73309961035,1584.62429465348,1650.24638138468,1691.38330953865,1687.35000339428,1723.21894258238,1818.07186067568,1852.9168463742,1842.04439705375,1884.42152207882,1866.13617637392,1787.02096630751,1810.59186591911,1952.02579646683,1952.99359733139,1997.49215642959,1850.69501281183,1831.22131680051,1984.32573390132,2087.09071103908,2095.65584273905,2171.30112642925,2286.15887179305,2428.19527509869,2556.58142295071,2685.20832630191,2792.91769577717,2799.68995451592,2916.78335353945,2865.84728035924,2860.65196687817,3080.31549557356,3360.40865631568,3594.07325076937,3730.90985210414,3807.80978703476,4049.03910706357,4176.34437526372
