department,job_title,salary,nb_months
SMT - Mathematics,Coordinator MSLC,69840,12
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,94014,9
LCB - Acad Prog / Student Aff,Assistant Professor,101304,9
MSA - Univ Exploratory Studies,Coord-Career Major Dec Making,53004,12
XEM - Enrollment Mgmt InfoTech,Operations Manager,63e3,12
MSA - Counseling Center,Staff Counselor,62388,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,51012,12
ESE - Sch Elect Engr/Comp Sci,Faculty Research Assistant,57864,12
MRS - Recreational Sports,ALI Operations Coordinator,53628,12
PHR - Pharmacy Professnl Instr,Staff Pharmacist,107628,12
VDL - Vet Diagnostic Lab,Professor,165576,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,49956,12
WHC - Univ Honors College,Advisor-Prestigious Scholars,55116,12
YIA - Intercolleg Athletics,Asst Coach-Football,250008,12
XUS - OSU Global Opportunities,International Program Coord,41004,12
ESE - Sch Elect Engr/Comp Sci,Professor,156636,9
RSG - Sea Grant,Fiscal Officer,93732,12
AFC - Food Innovation Center,Food Technologist,61188,12
TEX - Extension Service Admin,Extension Community Educator,57696,12
ECB - Sch of Chem/Bio/Envr Eng,XPS Research Associate,65004,12
QBC - Forest-Ocean BusinessCtr,Mgr-Business Center,160320,12
LCB - Acad Prog / Student Aff,Executive Assistant,63e3,12
FOR - Forest Ecosyst & Society,Faculty Research Assistant,50928,12
MSA - Coll Assistnc Migrnt Prg,Dir-CAMP,115584,12
AHE - Hermiston Exp Sta,Faculty Research Assistant,40008,12
"QBA - Procur,Cont&MaterialsMgt",AP Supervisor,75204,12
AFW - Fisheries and Wildlife,Research Associate (Post Doc),46212,12
KED - College of Education,Coordinator-Doctoral,57168,12
LCB - Acad Prog / Student Aff,Academic Advisor,38508,12
HHS - EXT Fam/CommHlth OffCmps,Senior Instructor I,57540,12
AFW - Fisheries and Wildlife,Administrative Manager,55008,12
MHD - Dining Centers,Operations Manager,52008,12
QFA - Human Resources-Central,Analyst-HR Business,54396,12
ACS - Crop and Soil Science,Research Associate (Post Doc),51828,12
FOR - Ext Forestry OFF Campus,Assistant Professor (Practice),82872,12
QBC - Bus & Engr Business Ctr,Finance Coordinator,71664,12
YIA - Intercolleg Athletics,Asst Trainer-Athletics,59724,12
CLA - School of Public Policy,Associate Professor,96462,9
ESE - Sch Elect Engr/Comp Sci,Coordinator-Online CS Prog,68316,12
BUS - College of Business Dept,Assistant Professor,156213,9
PHR - Pharmacy Professnl Instr,Associate Professor,121380,12
UPR - Institutional Diversity,NAGPRA Coordinator,57036,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,125685,9
AFW - Fisheries and Wildlife,Instructor,60528,12
ESE - Sch Elect Engr/Comp Sci,Director-Open Source Lab,109908,12
ACS - Crop/Soil Sci Extension,Specialist 2-Seed Cert 1,42e3,12
ESE - Sch Elect Engr/Comp Sci,Senior Instructor I,86148,12
HHS - Sch of Soc/Bhav Hlth Sci,Professor,141516,9
BUS - College of Business Dept,Assoc Dir-MBA Recruitment,84564,12
UPR - Institutional Diversity,VP & Chief Diversity Officer,236448,12
TEX - Ext/Exp S Communications,Director-Ext/Exp Station Comm,104832,12
AMB - Microbiology (Ag),Research Associate,60084,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39528,12
